coordinates	GSM1705375_included	GSM1705377_included	GSM1705375_total	GSM1705377_total
21:43732139-43732647:+	180.108633	0.0	180.108633	0.0
21:43732139-43732442:+	0.0	84.389945	0.0	84.389945
21:42088294-42088480:+	0.0	0.0	0.0	0.0
21:37506099-37506354:+	917.725551	890.014323	917.725551	890.014323
21:37506099-37506223:+	382.64915500000006	436.64340699999997	382.64915500000006	436.64340699999997
21:14219553-14219725:+	238.58177400000002	0.0	238.58177400000002	0.0
21:14219563-14219725:+	0.0	171.209517	0.0	171.209517
21:5026280-5026630:+	105.79291599999999	123.33211299999999	105.79291599999999	123.33211299999999
21:5026432-5026630:+	0.0	0.0	0.0	0.0
21:7754952-7755118:+	353.525175	0.0	353.525175	0.0
21:15826204-15826365:+	357.28239199999996	289.75485100000003	357.28239199999996	289.75485100000003
21:15847663-15847776:+	0.0	0.0	24.88926	143.14818200000005
21:17558976-17559131:+	0.0	0.0	0.0	0.0
21:17551749-17551953:+	0.0	0.0	0.0	0.0
21:18262791-18262893:+	0.0	0.0	0.0	0.0
21:25689866-25689973:+	82.76604	134.521942	133.933235	134.521942
21:25711367-25711568:+	0.0	0.0	133.933235	134.521942
21:25741573-25741675:+	1077.385278	648.4330160000002	1077.385278	648.4330160000002
21:29080552-29080708:+	0.0	0.0	0.0	0.0
21:29130795-29130923:+	0.0	0.0	0.0	0.0
21:29133306-29133414:+	0.0	0.0	0.0	0.0
21:29109040-29109183:+	0.0	0.0	0.0	0.0
21:31661549-31661734:+	0.0	0.0	46363.99311600001	45654.434444
21:31958843-31958970:+	240.836962	179.258226	240.836962	179.258226
21:32298962-32299077:+	0.0	0.0	0.0	0.0
21:32453312-32453508:+	159.012679	368.786054	159.012679	368.786054
21:32457597-32457720:+	159.012679	446.42281399999996	159.012679	840.0664209999999
21:32495027-32495170:+	0.0	840.0664209999999	0.0	840.0664209999999
21:32501415-32501538:+	0.0	265.918854	263.903746	265.918854
21:33244951-33245074:+	1532.1181080000001	1390.1161080000002	1532.1181080000001	1390.1161080000002
