GSM1705375	GSM1705377
ENSG00000212932	2180.49	1339.18
ENSG00000230982	328.555	146.64700000000002
ENSG00000223692	0.0	0.0
ENSG00000160299	2438.39	4729.8
ENSG00000182362	2342.13	2762.56
ENSG00000239415	314.31	350.945
ENSG00000160284	0.0	42.6655
ENSG00000237338	0.0	0.0
ENSG00000160282	44.3378	0.0
ENSG00000226115	0.0	0.0
ENSG00000224413	0.0	0.0
ENSG00000274248	0.0	0.0
ENSG00000183570	83.9179	173.47400000000002
ENSG00000173638	5543.38	4022.34
ENSG00000275167	0.0	0.0
ENSG00000183535	0.0	0.0
ENSG00000224574	0.0	0.0
ENSG00000228930	0.0	0.0
ENSG00000186866	1599.28	1238.55
ENSG00000267857	0.0	0.0
ENSG00000197381	937.727	1701.24
ENSG00000261706	0.0	0.0
ENSG00000276529	1242.23	1584.61
ENSG00000160256	3756.1	2547.38
ENSG00000272825	0.0	0.0
ENSG00000183250	540.996	161.79
ENSG00000273027	0.0	0.0
ENSG00000236519	112.305	50.1637
ENSG00000229382	0.0	0.0
ENSG00000236382	0.0	0.0
ENSG00000189169	0.0	0.0
ENSG00000221864	0.0	0.0
ENSG00000212933	0.0	0.0
ENSG00000205439	0.0	0.0
ENSG00000243489	0.0	0.0
ENSG00000187766	0.0	0.0
ENSG00000272804	0.0	0.0
ENSG00000188155	0.0	0.0
ENSG00000241123	0.0	0.0
ENSG00000215454	0.0	0.0
ENSG00000212935	0.0	0.0
ENSG00000205445	0.0	0.0
ENSG00000202239	0.0	0.0
ENSG00000228709	0.0	0.0
ENSG00000227999	40.1007	0.0
ENSG00000224747	0.0	0.0
ENSG00000229356	0.0	70.3664
ENSG00000264452	0.0	0.0
ENSG00000277352	0.0	0.0
ENSG00000230061	0.0	0.0
ENSG00000142185	65.8732	28.7876
ENSG00000232969	0.0	0.0
ENSG00000160226	1414.23	1367.32
ENSG00000241728	0.0	454.914
ENSG00000160224	0.0	0.0
ENSG00000232010	0.0	0.0
ENSG00000160285	2895.64	2906.85
ENSG00000278158	0.0	0.0
ENSG00000160223	189.99	144.267
ENSG00000225331	0.0	0.0
ENSG00000241945	4182.36	3660.44
ENSG00000160218	1481.71	752.247
ENSG00000252606	0.0	0.0
ENSG00000199598	0.0	0.0
ENSG00000160233	245.63	272.35
ENSG00000160216	3781.57	2557.43
ENSG00000226543	0.0	0.0
ENSG00000215458	128.477	97.3766
ENSG00000160214	5390.06	5944.08
ENSG00000234030	0.0	0.0
ENSG00000275139	0.0	0.0
ENSG00000160213	5657.27	6218.35
ENSG00000281420	0.0	0.0
ENSG00000160208	3838.16	4009.42
ENSG00000278433	0.0	0.0
ENSG00000234289	19051.7	27150.9
ENSG00000160207	0.0	24.9541
ENSG00000223975	0.0	0.0
ENSG00000188660	0.0	0.0
ENSG00000142178	107.788	464.13
ENSG00000225637	0.0	0.0
ENSG00000237989	0.0	0.0
ENSG00000237864	0.0	0.0
ENSG00000160202	0.0	0.0
ENSG00000236663	0.0	0.0
ENSG00000232777	0.0	0.0
ENSG00000160201	6149.45	11873.9
ENSG00000160200	4212.3	4165.3
ENSG00000224100	0.0	0.0
ENSG00000264580	0.0	0.0
ENSG00000160305	2048.31	1471.56
ENSG00000235890	0.0	0.0
ENSG00000233056	25.1025	16.462
ENSG00000160194	3134.8	2901.08
ENSG00000160193	1909.0	2085.97
ENSG00000225218	0.0	0.0
ENSG00000283051	141.27100000000002	0.0
ENSG00000231867	0.0	0.0
ENSG00000252619	0.0	0.0
ENSG00000160182	0.0	0.0
ENSG00000160181	0.0	0.0
ENSG00000223262	0.0	0.0
ENSG00000237232	0.0	55.2263
ENSG00000173276	1020.85	616.285
ENSG00000157617	78.2644	69.8193
ENSG00000251778	0.0	0.0
ENSG00000141956	489.18	396.0630000000001
ENSG00000275166	0.0	0.0
ENSG00000236883	298.969	0.0
ENSG00000227702	0.0	0.0
ENSG00000227039	0.0	0.0
ENSG00000223400	0.0	0.0
ENSG00000160221	7968.26	9210.58
ENSG00000207503	0.0	0.0
ENSG00000160185	0.0	0.0
ENSG00000228318	0.0	0.0
ENSG00000157601	75.3605	148.869
ENSG00000183486	0.0	0.0
ENSG00000183844	69.6778	0.0
ENSG00000225745	0.0	0.0
ENSG00000280109	0.0	0.0
ENSG00000182240	2559.37	1413.38
ENSG00000263681	0.0	0.0
ENSG00000226496	0.0	0.0
ENSG00000230859	0.0	0.0
ENSG00000207147	0.0	0.0
ENSG00000263973	0.0	0.0
ENSG00000231713	0.0	0.0
ENSG00000184809	53.655	187.135
ENSG00000183778	11.1376	53.0546
ENSG00000228349	0.0	0.0
ENSG00000235808	183.451	0.0
ENSG00000275523	0.0	0.0
ENSG00000157578	156.107	54.347
ENSG00000227406	0.0	0.0
ENSG00000205581	29654.2	27085.8
ENSG00000255568	0.0	100.679
ENSG00000229623	0.0	0.0
ENSG00000276647	0.0	0.0
ENSG00000237373	0.0	0.0
ENSG00000141959	7482.0	6765.08
ENSG00000272991	349.701	375.698
ENSG00000185658	1293.12	907.112
ENSG00000183527	14576.4	13896.6
ENSG00000228861	320.436	571.24
ENSG00000237721	0.0	0.0
ENSG00000272015	0.0	0.0
ENSG00000229925	0.0	0.0
ENSG00000205622	0.0	77.1618
ENSG00000229986	0.0	0.0
ENSG00000183255	4772.76	3447.13
ENSG00000157557	1382.84	1019.3
ENSG00000223806	0.0	0.0
ENSG00000235374	46.2144	61.9205
ENSG00000231231	0.0	0.0
ENSG00000226012	0.0	0.0
ENSG00000157551	0.0	5.23882
ENSG00000223768	593.618	494.923
ENSG00000198054	0.0	0.0
ENSG00000184029	0.0	0.0
ENSG00000233213	0.0	0.0
ENSG00000160183	0.0	0.0
ENSG00000157540	1300.37	1717.33
ENSG00000273210	338.91	151.273
ENSG00000272948	0.0	0.0
ENSG00000157538	1982.36	1635.74
ENSG00000242553	0.0	0.0
ENSG00000263969	0.0	0.0
ENSG00000230366	0.0	0.0
ENSG00000182670	3860.98	3796.84
ENSG00000185808	4289.8	3436.37
ENSG00000183145	56.3291	125.79
ENSG00000215734	0.0	0.0
ENSG00000239930	0.0	0.0
ENSG00000207416	0.0	0.0
ENSG00000224790	0.0	42.8821
ENSG00000270652	0.0	0.0
ENSG00000159263	1194.44	1277.58
ENSG00000224269	0.0	0.0
ENSG00000232124	0.0	0.0
ENSG00000279365	836.6	721.3910000000001
ENSG00000160209	4358.54	4632.97
ENSG00000159261	0.0	40.6918
ENSG00000233818	0.0	0.0
ENSG00000230479	0.0	0.0
ENSG00000224421	0.0	0.0
ENSG00000228404	0.0	0.0
ENSG00000273199	68.2007	0.0
ENSG00000201812	0.0	0.0
ENSG00000228677	0.0	0.0
ENSG00000226996	0.0	0.0
ENSG00000272958	0.0	0.0
ENSG00000251851	0.0	0.0
ENSG00000224388	0.0	0.0
ENSG00000223608	0.0	0.0
ENSG00000206106	0.0	0.0
ENSG00000274225	0.0	91.1917
ENSG00000233480	0.0	0.0
ENSG00000215353	0.0	0.0
ENSG00000281383	0.0	0.0
ENSG00000212609	0.0	0.0
ENSG00000235965	0.0	0.0
ENSG00000223431	0.0	0.0
ENSG00000265841	0.0	0.0
ENSG00000279769	0.0	0.0
ENSG00000238141	0.0	0.0
ENSG00000227330	0.0	0.0
ENSG00000244676	0.0	0.0
ENSG00000240770	0.0	0.0
ENSG00000154640	3023.04	3985.82
ENSG00000277117	105.793	123.332
ENSG00000198618	178189.0	179376.0
ENSG00000279648	0.0	0.0
ENSG00000226956	0.0	0.0
ENSG00000199962	0.0	0.0
ENSG00000279709	0.0	0.0
ENSG00000200754	0.0	0.0
ENSG00000279851	27.2578	0.0
ENSG00000142173	1057.56	1230.02
ENSG00000198862	1289.13	694.1389999999999
ENSG00000279728	0.0	0.0
ENSG00000276738	0.0	0.0
ENSG00000278775	0.0	0.0
ENSG00000155307	0.0	0.0
ENSG00000175894	24.8441	0.0
ENSG00000276076	0.0	0.0
ENSG00000228961	0.0	0.0
ENSG00000236532	0.0	0.0
ENSG00000280432	0.0	0.0
ENSG00000275664	0.0	0.0
ENSG00000207638	0.0	0.0
ENSG00000159256	1006.27	848.638
ENSG00000207863	0.0	0.0
ENSG00000232687	0.0	0.0
ENSG00000238390	0.0	0.0
ENSG00000237604	0.0	0.0
ENSG00000155313	381.365	377.082
ENSG00000212564	0.0	0.0
ENSG00000270116	0.0	0.0
ENSG00000236332	0.0	0.0
ENSG00000224524	0.0	0.0
ENSG00000201025	0.0	0.0
ENSG00000280082	0.0	0.0
ENSG00000228355	0.0	0.0
ENSG00000279390	0.0	0.0
ENSG00000229880	212.13	336.856
ENSG00000280800	10677.5	12794.5
ENSG00000231201	0.0	0.0
ENSG00000223870	0.0	0.0
ENSG00000184441	319.835	265.668
ENSG00000180530	267.935	169.27
ENSG00000272657	0.0	0.0
ENSG00000252963	0.0	0.0
ENSG00000225502	0.0	0.0
ENSG00000243440	0.0	0.0
ENSG00000223662	0.0	0.0
ENSG00000243064	0.0	0.0
ENSG00000235023	0.0	16.0692
ENSG00000154639	648.996	425.1830000000001
ENSG00000277572	0.0	0.0
ENSG00000224905	79.2952	141.658
ENSG00000233767	0.0	0.0
ENSG00000275170	0.0	0.0
ENSG00000223488	0.0	0.0
ENSG00000199030	0.0	0.0
ENSG00000160310	4536.75	3997.23
ENSG00000205424	0.0	0.0
ENSG00000200792	0.0	0.0
ENSG00000185917	1893.91	1933.94
ENSG00000184787	9059.72	6830.68
ENSG00000203616	1175.3	1313.15
ENSG00000168122	0.0	0.0
ENSG00000280243	53.065	0.0
ENSG00000232797	0.0	0.0
ENSG00000142156	3587.77	4069.68
ENSG00000279186	0.0	94.3455
ENSG00000173231	621.502	384.37
ENSG00000154642	265.985	139.268
ENSG00000231300	3473.41	4841.71
ENSG00000230965	0.0	0.0
ENSG00000228708	0.0	0.0
ENSG00000239023	0.0	0.0
ENSG00000273692	0.0	0.0
ENSG00000207097	0.0	0.0
ENSG00000215326	2220.87	991.589
ENSG00000214319	0.0	0.0
ENSG00000231123	0.0	0.0
ENSG00000279967	21.1246	0.0
ENSG00000160191	1620.15	1083.67
ENSG00000235123	0.0	0.0
ENSG00000200213	0.0	0.0
ENSG00000269950	0.0	0.0
ENSG00000266299	0.0	0.0
ENSG00000270093	0.0	0.0
ENSG00000207476	0.0	0.0
ENSG00000214976	0.0	0.0
ENSG00000279669	0.0	0.0
ENSG00000159197	109.489	147.06799999999998
ENSG00000228159	0.0	0.0
ENSG00000179381	0.0	0.0
ENSG00000226433	0.0	0.0
ENSG00000226930	0.0	0.0
ENSG00000275895	19227.1	13951.2
ENSG00000223901	92.1683	0.0
ENSG00000215455	0.0	0.0
ENSG00000266211	0.0	0.0
ENSG00000226298	0.0	0.0
ENSG00000175302	0.0	0.0
ENSG00000278381	0.0	0.0
ENSG00000185390	0.0	667.568
ENSG00000280108	0.0	0.0
ENSG00000230233	0.0	0.0
ENSG00000185272	238.582	171.21
ENSG00000184032	0.0	0.0
ENSG00000274484	0.0	0.0
ENSG00000230198	0.0	0.0
ENSG00000234159	0.0	0.0
ENSG00000275631	0.0	0.0
ENSG00000279303	0.0	0.0
ENSG00000232806	0.0	0.0
ENSG00000229231	846.895	449.163
ENSG00000233922	58.9453	98.7163
ENSG00000279783	0.0	0.0
ENSG00000159110	1532.12	1390.12
ENSG00000211590	0.0	0.0
ENSG00000277991	6e-06	6e-06
ENSG00000279213	0.0	0.0
ENSG00000277067	0.0	0.0
ENSG00000229007	2055.96	786.56
ENSG00000235701	119.808	0.0
ENSG00000228184	68.708	15.3427
ENSG00000199806	0.0	0.0
ENSG00000279156	0.0	0.0
ENSG00000280433	311.052	448.689
ENSG00000228798	0.0	0.0
ENSG00000236056	0.0	0.0
ENSG00000279998	0.0	0.0
ENSG00000270071	0.0	0.0
ENSG00000156253	1414.22	1169.11
ENSG00000171189	0.0	0.0
ENSG00000229336	534.317	0.0
ENSG00000279211	0.0	0.0
ENSG00000279990	0.0	0.0
ENSG00000205758	2215.62	1871.43
ENSG00000156239	1406.53	551.021
ENSG00000242220	38.2477	153.57399999999998
ENSG00000188992	0.0	0.0
ENSG00000278878	619.974	497.857
ENSG00000229047	0.0	0.0
ENSG00000274046	0.0	0.0
ENSG00000276902	0.0	0.0
ENSG00000240755	0.0	105.98
ENSG00000274060	0.0	0.0
ENSG00000154721	133.933	134.52200000000002
ENSG00000281181	9813.82	11605.9
ENSG00000244362	0.0	0.0
ENSG00000231755	0.0	0.0
ENSG00000219592	0.0	0.0
ENSG00000252462	0.0	0.0
ENSG00000182816	0.0	0.0
ENSG00000213440	214.96	0.0
ENSG00000142188	2784.5	2587.83
ENSG00000228107	113.658	101.49
ENSG00000279062	0.0	207.871
ENSG00000156261	27488.1	25841.3
ENSG00000278932	495.24300000000005	578.674
ENSG00000279751	0.0	0.0
ENSG00000273492	0.0	23.8495
ENSG00000186971	0.0	0.0
ENSG00000280095	0.0	0.0
ENSG00000281903	126.057	0.0
ENSG00000231324	0.0	0.0
ENSG00000228433	881.0089999999999	639.476
ENSG00000235609	9.04359	7.48642
ENSG00000277739	0.0	0.0
ENSG00000234083	0.0	0.0
ENSG00000276546	0.0	0.0
ENSG00000205726	2573.95	2508.97
ENSG00000279381	0.0	0.0
ENSG00000187172	79.5534	152.19799999999998
ENSG00000218549	0.0	0.0
ENSG00000275464	460.931	673.172
ENSG00000226204	0.0	0.0
ENSG00000215369	0.0	0.0
ENSG00000227721	0.0	0.0
ENSG00000280330	142.857	0.0
ENSG00000237444	0.0	0.0
ENSG00000160180	0.0	0.0
ENSG00000274662	0.0	0.0
ENSG00000160190	645.96	536.521
ENSG00000279064	0.0	0.0
ENSG00000276873	0.0	0.0
ENSG00000280071	3087.5	3823.78
ENSG00000221837	0.0	0.0
ENSG00000215559	284.786	60.7876
ENSG00000226580	0.0	0.0
ENSG00000234107	0.0	0.0
ENSG00000274333	791.451	268.011
ENSG00000274790	0.0	0.0
ENSG00000237664	0.0	0.0
ENSG00000187175	0.0	0.0
ENSG00000215386	158.873	244.352
ENSG00000279784	0.0	0.0
ENSG00000228600	0.0	0.0
ENSG00000280013	0.0	0.0
ENSG00000232608	0.0	0.0
ENSG00000275945	1749.07	1901.95
ENSG00000159212	0.0	0.0
ENSG00000278884	0.0	0.0
