GSM1705375	GSM1705377
ENST00000624081	0.0	0.0
ENST00000612610	0.0	0.0
ENST00000620481	0.0	0.0
ENST00000623960	105.792916	123.332113
ENST00000623903	0.0	0.0
ENST00000623795	0.0	0.0
ENST00000623188	0.0	0.0
ENST00000624810	0.0	0.0
ENST00000625036	0.0	0.0
ENST00000620015	0.0	2083.111924
ENST00000620528	2072.852134	1496.625514
ENST00000623476	299.955461	0.0
ENST00000624120	0.0	0.0
ENST00000624748	600.627082	0.0
ENST00000624648	0.0	0.0
ENST00000623810	0.0	0.0
ENST00000624714	284.503283	244.044608
ENST00000623390	0.0	0.0
ENST00000622915	129.518856	0.0
ENST00000617716	460.930603	673.1721110000001
ENST00000632537	0.0	0.0
ENST00000623011	0.0	0.0
ENST00000624312	0.0	0.0
ENST00000633442	0.0	0.0
ENST00000633593	0.0	0.0
ENST00000634020	0.0	0.0
ENST00000634021	0.0	0.0
ENST00000623998	311.051714	448.689007
ENST00000623744	0.0	0.0
ENST00000623753	0.0	0.0
ENST00000624261	0.0	0.0
ENST00000624859	296.213115	0.0
ENST00000623227	0.0	0.0
ENST00000619252	0.0	0.0
ENST00000623449	0.0	0.0
ENST00000623436	0.0	0.0
ENST00000624627	0.0	0.0
ENST00000624368	0.0	0.0
ENST00000623914	0.0	0.0
ENST00000624516	107.239286	0.0
ENST00000624412	0.0	0.0
ENST00000622939	0.0	0.0
ENST00000623050	0.0	0.0
ENST00000624444	139.4909	121.634927
ENST00000623887	0.0	0.0
ENST00000611026	544.720492	146.375645
ENST00000610788	0.0	0.0
ENST00000624506	0.0	94.345494
ENST00000623587	0.0	0.0
ENST00000623723	0.0	0.0
ENST00000464664	0.0	0.0
ENST00000623928	0.0	0.0
ENST00000624240	0.0	0.0
ENST00000624561	0.0	0.0
ENST00000624105	0.0	0.0
ENST00000624113	0.0	0.0
ENST00000623161	0.0	0.0
ENST00000623549	0.0	0.0
ENST00000623983	0.0	0.0
ENST00000623297	33.967122	0.0
ENST00000624872	0.0	14.043013
ENST00000613488	243.32324900000003	159.13358200000002
ENST00000624077	0.0	0.0
ENST00000616522	0.0	0.0
ENST00000621924	0.0	0.0
ENST00000619488	0.0	0.0
ENST00000617746	0.0	0.0
ENST00000624446	0.0	0.0
ENST00000623405	0.0	0.0
ENST00000623575	0.0	0.0
ENST00000623506	0.0	190.910806
ENST00000624484	0.0	0.0
ENST00000623377	0.0	0.0
ENST00000624576	92.561854	0.0
ENST00000623738	0.0	0.0
ENST00000623989	777.726042	0.0
ENST00000624165	0.0	0.0
ENST00000624847	0.0	66.503221
ENST00000615262	0.0	0.0
ENST00000624691	269.90303	48.601239
ENST00000624406	0.0	0.0
ENST00000398168	3659.305206000001	4988.708178
ENST00000618024	0.0	0.0
ENST00000617706	0.0	0.0
ENST00000624934	0.0	0.0
ENST00000622914	178.26324499999998	1002.424507
ENST00000624808	0.0	0.0
ENST00000623939	0.0	0.0
ENST00000624921	0.0	0.0
ENST00000637320	0.0	0.0
ENST00000623375	205.089126	185.247986
ENST00000610664	12188.452208	10224.770206
ENST00000620065	356.434277	0.0
ENST00000636923	776.320804	632.629223
ENST00000624739	480.021265	327.027627
ENST00000619610	4995.635932	2365.243989
ENST00000636315	0.0	0.0
ENST00000637031	0.0	0.0
ENST00000636177	225.140456	216.28298
ENST00000636403	0.0	0.0
ENST00000624353	0.0	0.0
ENST00000623061	0.0	0.0
ENST00000623896	0.0	0.0
ENST00000619537	0.0	0.0
ENST00000624019	0.0	0.0
ENST00000624901	0.0	0.0
ENST00000624932	0.0	0.0
ENST00000623047	9.135631	53.881221
ENST00000623106	79.819866	196.998676
ENST00000625185	0.0	0.0
ENST00000624846	373.26787	125.791214
ENST00000623313	0.0	0.0
ENST00000623950	0.0	0.0
ENST00000624965	123.869273	0.0
ENST00000623225	0.0	0.0
ENST00000623324	0.0	0.0
ENST00000624181	619.974316	497.857489
ENST00000624266	0.0	0.0
ENST00000623809	0.0	0.0
ENST00000623892	112.174091	213.081518
ENST00000623678	0.0	0.0
ENST00000624937	0.0	0.0
ENST00000616627	0.0	0.0
ENST00000623131	0.0	0.0
ENST00000623720	0.0	0.0
ENST00000623165	107.993242	357.961317
ENST00000624519	643.464712	123.953516
ENST00000623347	0.0	275.93136400000003
ENST00000624728	0.0	880.224143
ENST00000623518	0.0	0.0
ENST00000625184	0.0	0.0
ENST00000623095	0.0	0.0
ENST00000622911	0.0	0.0
ENST00000621909	0.0	0.0
ENST00000623394	0.0	0.0
ENST00000624310	0.0	0.0
ENST00000615804	0.0	0.0
ENST00000617336	0.0	0.0
ENST00000624153	142.85746	0.0
ENST00000623962	0.0	0.0
ENST00000624595	0.0	0.0
ENST00000624042	0.0	0.0
ENST00000617062	0.0	0.0
ENST00000625096	0.0	409.031401
ENST00000624791	0.0	0.0
ENST00000624907	0.0	0.0
ENST00000624461	1318.746607	1063.04563
ENST00000625115	0.0	0.0
ENST00000610988	0.0	0.0
ENST00000613803	0.0	0.0
ENST00000624906	0.0	297.774277
ENST00000619005	0.0	0.0
ENST00000623374	6e-06	6e-06
ENST00000624633	0.0	0.0
ENST00000623190	0.0	0.0
ENST00000623637	0.0	0.0
ENST00000623783	0.0	0.0
ENST00000625005	0.0	0.0
ENST00000623797	0.0	0.0
ENST00000623643	0.0	0.0
ENST00000624534	0.0	0.0
ENST00000622934	353.525175	0.0
ENST00000619874	3907.710509000001	2805.559009
ENST00000612624	0.0	0.0
ENST00000624304	0.0	0.0
ENST00000624758	0.0	0.0
ENST00000623661	0.0	0.0
ENST00000613894	0.0	223.097901
ENST00000624951	0.0	0.0
ENST00000622690	0.0	0.0
ENST00000618699	0.0	0.0
ENST00000623803	0.0	0.0
ENST00000617668	0.0	0.0
ENST00000619030	0.0	0.0
ENST00000624806	21.124633	0.0
ENST00000623664	0.0	148.22731299999998
ENST00000616420	0.0	0.0
ENST00000610482	0.0	0.0
ENST00000615959	0.0	0.0
ENST00000614492	0.0	0.0
ENST00000631211	10677.509405	12794.518837
ENST00000612463	0.0	0.0
ENST00000616483	0.0	0.0
ENST00000618423	0.0	0.0
ENST00000629969	0.0	0.0
ENST00000610460	0.0	0.0
ENST00000623860	145.202791	0.0
ENST00000622482	0.0	0.0
ENST00000612139	0.0	0.0
ENST00000625598	9879.027437	12136.41703
ENST00000613359	0.0	0.0
ENST00000617390	0.0	0.0
ENST00000619112	0.0	0.0
ENST00000627981	9813.815423	11605.850831
ENST00000619471	26796.680704	74157.316923
ENST00000625020	0.0	0.0
ENST00000624852	0.0	0.0
ENST00000625098	0.0	0.0
ENST00000623794	0.0	0.0
ENST00000624813	0.0	0.0
ENST00000625014	0.0	0.0
ENST00000624263	53.064964	0.0
ENST00000624291	31.718922	28.333393
ENST00000581792	0.0	0.0
ENST00000577708	0.0	0.0
ENST00000623236	0.0	0.0
ENST00000623182	0.0	127.613907
ENST00000623201	2707.926495	2417.530179
ENST00000416067	262.58988700000003	350.972793
ENST00000559466	94.485335	52.097292
ENST00000624968	146.408656	653.4850759999999
ENST00000623217	0.0	0.0
ENST00000622961	0.0	134.580828
ENST00000622995	495.243104	444.093084
ENST00000625153	0.0	0.0
ENST00000624052	0.0	0.0
ENST00000623409	0.0	0.0
ENST00000624162	0.0	0.0
ENST00000624821	410.646284	0.0
ENST00000624041	80.890243	0.0
ENST00000624736	0.0	0.0
ENST00000623408	0.0	0.0
ENST00000620684	0.0	0.0
ENST00000623554	0.0	0.0
ENST00000623919	0.0	0.0
ENST00000623933	0.0	0.0
ENST00000623929	0.0	0.0
ENST00000624130	0.0	0.0
ENST00000584271	0.0	0.0
ENST00000516390	0.0	0.0
ENST00000624226	0.0	0.0
ENST00000623559	0.0	0.0
ENST00000625012	0.0	0.0
ENST00000604687	0.0	0.0
ENST00000624662	0.0	0.0
ENST00000623370	27.257763	0.0
ENST00000623954	0.0	207.871403
ENST00000622592	0.0	0.0
ENST00000616952	0.0	0.0
ENST00000613970	1749.0652670000002	1901.947866
ENST00000619242	0.0	0.0
ENST00000612331	0.0	0.0
ENST00000474011	0.0	0.0
ENST00000470054	0.0	0.0
ENST00000496773	79.553422	152.198045
ENST00000612267	0.0	19.513661
ENST00000622113	0.0	0.0
ENST00000612957	0.0	0.0
ENST00000618007	0.0	0.0
ENST00000427445	0.0	0.0
ENST00000612746	0.0	0.0
ENST00000616920	0.0	0.0
ENST00000614260	391.62665	350.71274700000004
ENST00000611755	0.0	0.0
ENST00000622028	0.0	0.0
ENST00000457565	0.0	0.0
ENST00000447861	0.0	0.0
ENST00000435744	0.0	0.0
ENST00000507941	0.0	0.0
ENST00000471407	0.0	0.0
ENST00000384369	0.0	0.0
ENST00000427301	0.0	0.0
ENST00000424255	0.0	0.0
ENST00000624445	0.0	0.0
ENST00000332473	0.0	667.567616
ENST00000451052	0.0	0.0
ENST00000580304	0.0	0.0
ENST00000424290	0.0	0.0
ENST00000407739	0.0	0.0
ENST00000444901	68.70804	15.342735
ENST00000431829	0.0	0.0
ENST00000427446	0.0	0.0
ENST00000406538	0.0	0.0
ENST00000620442	0.0	0.0
ENST00000299443	0.0	0.0
ENST00000384745	0.0	0.0
ENST00000581787	0.0	0.0
ENST00000613704	0.0	0.0
ENST00000435181	0.0	45.939763
ENST00000398098	0.0	0.0
ENST00000624520	0.0	0.0
ENST00000619798	0.0	0.0
ENST00000621412	0.0	0.0
ENST00000431297	846.895075	449.163421
ENST00000444356	0.0	0.0
ENST00000311003	621.502142	384.370085
ENST00000443486	0.0	0.0
ENST00000433312	0.0	0.0
ENST00000400583	0.0	0.0
ENST00000453500	0.0	0.0
ENST00000428301	130.73116000000002	0.0
ENST00000420685	0.0	0.0
ENST00000436765	0.0	0.0
ENST00000412442	0.0	0.0
ENST00000442192	0.0	0.0
ENST00000451663	48.196111	60.787576
ENST00000366423	1175.301063	1313.14837
ENST00000428576	236.590267	0.0
ENST00000432875	0.0	0.0
ENST00000429521	0.0	0.0
ENST00000344693	0.0	0.0
ENST00000411355	0.0	0.0
ENST00000457709	519.2864440000001	0.0
ENST00000450880	43.735028	39.068812
ENST00000613317	0.0	0.0
ENST00000428809	0.0	0.0
ENST00000432621	0.0	0.0
ENST00000448463	79.29523	141.657973
ENST00000359341	150.500279	0.0
ENST00000364942	0.0	0.0
ENST00000613590	0.0	0.0
ENST00000344577	0.0	0.0
ENST00000536861	0.0	0.0
ENST00000614229	0.0	0.0
ENST00000433806	0.0	105.980232
ENST00000400211	0.0	0.0
ENST00000468643	238.581774	0.0
ENST00000468788	0.0	0.0
ENST00000495055	0.0	0.0
ENST00000461088	0.0	0.0
ENST00000400577	0.0	171.209517
ENST00000475864	0.0	0.0
