ID	activities_GSM1705375	activities_GSM1705377	deltas_GSM1705375	deltas_GSM1705377	zscores_GSM1705375	zscores_GSM1705377	combined.Zscore	regions_present_fraction	region	motif	standard_zscores_GSM1705375	pval_GSM1705375	corr_pval_GSM1705375	standard_zscores_GSM1705377	pval_GSM1705377	corr_pval_GSM1705377	combined.standard.Zscore	max.abs.standard.Zscore	significance-marker
u50to0.d0to0|RBMX_843	44.123163831999996	-44.123163831999996	0.55130208	0.16799047	80.03445973	-262.65278650000005	194.15457886	0.16042779999999998	u50to0.d0to0	RBMX_843	3.71762246999357	0.00010055325089588199	0.0100553250895882	-12.2248081715171	1.1456095972786396e-34	1.1456095972786394e-32	9.035116259899269	12.2248081715171	True
u50to0.d0to0|SF1_1204	-27.574856899	27.574856899	0.10903317	0.69930419	-252.90337115	39.43184829999999	180.99031162	0.2406417	u50to0.d0to0	SF1_1204	-11.7504070203444	3.51397570580518e-32	3.51397570580518e-30	1.7658906769316798	0.0387070958107022	1.0	8.40209601904885	11.7504070203444	True
u50to0.d0to0|SF1_1200	-16.530556012	16.530556012	0.09761453	0.32005183	-169.34524364	51.6496219	125.19084429	0.2620321	u50to0.d0to0	SF1_1200	-7.86836220415182	1.7965701192667103e-15	1.7965701192667102e-13	2.33174266456852	0.009857116452020441	0.985711645202044	5.802936654380001	7.86836220415182	True
u25to0.d0to25|PTBP1_992	-4.12759098	4.12759098	0.04379519	0.11081359	-94.2475964	37.2480585	71.6590095	0.1390374	u25to0.d0to25	PTBP1_992	-5.0193727121877005	2.592024109094901e-07	2.5920241090949e-05	2.63317358633761	0.00422955508691978	0.422955508691978	4.00797365009057	5.0193727121877005	True
u0to0.d0to50|PHAX_472	3.81001506	-3.81001506	0.04174143	0.17538438	91.2765901	-21.7237991	66.34508000000001	0.6898396	u0to0.d0to50	PHAX_472	4.45231210578289	4.2475283406201e-06	0.00042475283406201	-1.1907905464077702	0.116867910518747	1.0	3.25891586365121	4.45231210578289	True
u25to0.d0to25|PCBP2_M043_0.6	-1.6372275	1.6372275	0.03331033	0.032178700000000005	-49.1507392	50.8792247	50.02244829999999	0.6524064	u25to0.d0to25	PCBP2_M043_0.6	-2.63154312619479	0.00424990393725753	0.424990393725753	3.58162386726663	0.00017073258640149699	0.0170732586401497	3.1426938087886502	3.58162386726663	True
u0to0.d0to50|SRSF1_126	-2.64613085	2.64613085	0.05193042	0.06418273	-50.9553094	41.22808010000001	46.34759	0.3582888	u0to0.d0to50	SRSF1_126	-2.9490693790423594	0.00159366207148144	0.15936620714814406	3.22651463282002	0.0006265391223386719	0.0626539122338672	3.09090657236732	3.22651463282002	False
u50to0.d0to0|PABPN1_M148_0.6	1.930748321	-1.930748321	0.02857784	0.03089259	67.56103848	-62.4987559	65.07913799	0.540107	u50to0.d0to0	PABPN1_M148_0.6	3.1381171394324703	0.0008501845445156048	0.0850184544515605	-2.95490681661442	0.0015638175060000302	0.15638175060000306	3.0478888985389703	3.1381171394324703	False
u25to0.d0to25|SRP68_573	1.17763878	-1.17763878	0.02545394	0.02312696	46.265481	-50.9206089	48.6487571	0.8128342	u25to0.d0to25	SRP68_573	2.42064205306809	0.0077465623192739	0.77465623192739	-3.5015617794939704	0.00023126985993629	0.023126985993628998	3.01002016975756	3.5015617794939704	True
u25to0.d0to25|PTBP1_1000	-3.04364728	3.04364728	0.07385962	0.06035429	-41.2085409	50.4296798	46.0504965	0.22994650000000005	u25to0.d0to25	PTBP1_1000	-2.21101235629088	0.0135174907072546	1.0	3.5503447396821404	0.00019236349614843896	0.0192363496148439	2.95749246915859	3.5503447396821404	True
u25to0.d0to25|RBM25_1143	-1.94616347	1.94616347	0.02709608	0.08425359	-71.8245451	23.0988782	53.3494304	0.1283422	u25to0.d0to25	RBM25_1143	-3.83209651098987	6.352793706416329e-05	0.00635279370641633	1.64868012234841	0.0496065922661548	1.0	2.94983981051239	3.83209651098987	True
u25to0.d0to25|PCBP1_M177_0.6	-2.07193498	2.07193498	0.03942324	0.04765551	-52.5561831	43.4773458	48.2308614	0.5347594	u25to0.d0to25	PCBP1_M177_0.6	-2.81185768030653	0.00246281460786686	0.24628146078668606	3.06660453443012	0.00108252544862499	0.108252544862499	2.94198971657671	3.06660453443012	False
u25to0.d0to25|SRP19_540	1.30863156	-1.30863156	0.02582406	0.02826613	50.674891	-46.2968032	48.5352375	0.8449198	u25to0.d0to25	SRP19_540	2.6541155212540897	0.00397582995609123	0.39758299560912297	-3.179839503440569	0.00073678321148449	0.07367832114844901	2.9287974040383102	3.179839503440569	False
u0to0.d0to50|RBMX_1361	1.36472546	-1.36472546	0.02719086	0.02580341	50.1906028	-52.8893522	51.557639	0.8663101999999999	u0to0.d0to50	RBMX_1361	2.3143032149715497	0.0103255477862748	1.0	-3.37766345428006	0.000365522456344337	0.0365522456344337	2.89522104347896	3.37766345428006	True
u0to0.d0to50|SF1_1185	5.5153903	-5.5153903	0.06770392	0.30920687	81.4633879	-17.8372177	58.967999	0.34759359999999995	u0to0.d0to50	SF1_1185	3.9416583542317096	4.04600917615169e-05	0.00404600917615169	-0.918070869634241	0.17929088220263895	1.0	2.86177608341006	3.9416583542317096	True
u0to0.d0to50|QKI_1139	-1.36072068	1.36072068	0.04135257	0.03098531	-32.9053455	43.9150315	38.802653	0.4117647	u0to0.d0to50	QKI_1139	-2.0097957767009698	0.022226403987073	1.0	3.41505680958086	0.00031884355039057	0.031884355039057004	2.8019539679221803	3.41505680958086	True
u0to0.d0to50|SRP19_540	1.2218491000000002	-1.2218491000000002	0.02295307	0.02550782	53.23249820000001	-47.9009539	50.636944	0.802139	u0to0.d0to50	SRP19_540	2.47259561190558	0.0067067913865348295	0.6706791386534829	-3.0276297789288504	0.00123239926029323	0.123239926029323	2.76407951570423	3.0276297789288504	False
u0to0.d0to50|RBM25_1143	-1.45780133	1.45780133	0.02567294	0.05706832	-56.78357239999999	25.5448425	44.027906	0.1497326	u0to0.d0to50	RBM25_1143	-3.25235716475384	0.000572260519542013	0.0572260519542013	2.12602887198288	0.0167504277942067	1.0	2.74752851592394	3.25235716475384	False
u0to0.d0to50|SF1_1190	-2.47776814	2.47776814	0.05560189	0.07158147	-44.5626593	34.61466	39.899908	0.33689840000000004	u0to0.d0to50	SF1_1190	-2.6164123432055697	0.0044429588337409395	0.444295883374094	2.76245390530263	0.0028684330838264697	0.286843308382647	2.6904242350046004	2.76245390530263	False
u0to0.d0to50|SF1_1204	14.08623119	-14.08623119	0.34397265	0.27162835	40.9516018	-51.8584712	46.724377	0.3315508	u0to0.d0to50	SF1_1204	1.83352941401643	0.0333619392198825	1.0	-3.30532699604662	0.000474328250635305	0.0474328250635305	2.6727342425742595	3.30532699604662	True
u0to0.d0to50|SRP68_573	1.06977006	-1.06977006	0.02196362	0.02266345	48.706446	-47.2024263	47.960332	0.9465241	u0to0.d0to50	SRP68_573	2.23707152012171	0.012640833001597	1.0	-2.9786144099752003	0.00144777453496645	0.14477745349664498	2.6340684111704102	2.9786144099752003	False
u50to0.d0to0|PCBP1_M177_0.6	-5.594178502	5.594178502	0.08626494	0.11735556	-64.84880999	47.668629	56.91074742	0.5989305	u50to0.d0to0	PCBP1_M177_0.6	-3.0135401700768703	0.0012910942701577302	0.129109427015773	2.14736760418655	0.0158820138078299	1.0	2.6165446665571	3.0135401700768703	False
u25to0.d0to25|RC3H1_531	-1.53377925	1.53377925	0.04220912	0.03559863	-36.3376265	43.0853438	39.85454779999999	0.7807487	u25to0.d0to25	RC3H1_531	-1.95310273160069	0.0254037116847884	1.0	3.03932921538774	0.00118552797343155	0.118552797343155	2.55461664048596	3.03932921538774	False
u25to0.d0to25|RBMX_1361	0.93479073	-0.93479073	0.02507156	0.02190112	37.2849106	-42.68232	40.07458670000001	0.8609626	u25to0.d0to25	RBMX_1361	1.94513060877586	0.0258796303985384	1.0	-2.92834542317227	0.0017038561444307	0.17038561444307	2.4858338643814	2.92834542317227	False
u0to0.d0to50|RBFOX1_M159_0.6	-3.00559724	3.00559724	0.066649	0.10826524	-45.0959082	27.7614243	37.445545	0.368984	u0to0.d0to50	RBFOX1_M159_0.6	-2.64416124165337	0.00409468172518164	0.409468172518164	2.2815654245012595	0.0112575049892734	1.0	2.4695272278456	2.64416124165337	False
u0to0.d0to50|RBFOX1_335	-2.15281814	2.15281814	0.05111693	0.07158512	-42.1155569	30.0735408	36.593292	0.3101604	u0to0.d0to50	RBFOX1_335	-2.4890714410696804	0.006403861324810229	0.6403861324810229	2.44380560414674	0.00726662753438353	0.7266627534383531	2.46654236428322	2.4890714410696804	False
u0to0.d0to50|RBM3_M048_0.6	1.35910608	-1.35910608	0.0384639	0.02855495	35.3345899	-47.5961682	41.916157	0.7967914	u0to0.d0to50	RBM3_M048_0.6	1.54123459110504	0.0616298507772953	1.0	-3.0062431028157	0.00132248721927935	0.132248721927935	2.38881787271923	3.0062431028157	False
