ID	activities_GSM1705375	activities_GSM1705377	deltas_GSM1705375	deltas_GSM1705377	zscores_GSM1705375	zscores_GSM1705377	combined.Zscore	regions_present_fraction	region	motif	standard_zscores_GSM1705375	pval_GSM1705375	corr_pval_GSM1705375	standard_zscores_GSM1705377	pval_GSM1705377	corr_pval_GSM1705377	combined.standard.Zscore	max.abs.standard.Zscore	significance-marker
u50to0.d0to0|SRP68_347	-80.55270279999998	80.55270279999998	4.9459459	4.9459459	-16.28661218	16.28661218	16.28661218	0.49840595	u50to0.d0to0	SRP68_347	-7.49197832188983	3.39215650746309e-14	2.81548990119436e-12	7.49197832188983	3.39215650746309e-14	2.81548990119436e-12	7.49197832188983	7.49197832188983	True
u50to0.d0to0|RBM5_M145_0.6	-12.7616701	12.7616701	0.9510531	0.9510531	-13.41846183	13.41846183	13.41846183	0.5664186999999999	u50to0.d0to0	RBM5_M145_0.6	-6.158329344426138	3.6758173420754e-10	3.05092839392258e-08	6.158329344426138	3.6758173420754e-10	3.05092839392258e-08	6.158329344426138	6.158329344426138	True
u50to0.d0to0|QKI_M046_0.6	-619.6718881	619.6718881	53.2149255	53.2149255	-11.64470084	11.64470084	11.64470084	0.45483528	u50to0.d0to0	QKI_M046_0.6	-5.33355579983896	4.81539748744757e-08	3.99677991458149e-06	5.33355579983896	4.81539748744757e-08	3.99677991458149e-06	5.33355579983896	5.33355579983896	True
u25to0.d0to25|SRP68_573	-336.264388	336.264388	35.012312	35.012312	-9.60417537	9.60417537	9.60417537	0.82465462	u25to0.d0to25	SRP68_573	-5.245663211523941	7.786056795693869e-08	6.07312430064122e-06	5.245663211523941	7.786056795693869e-08	6.07312430064122e-06	5.245663211523941	5.245663211523941	True
u50to0.d0to0|SRP68_573	-150.2009766	150.2009766	15.4940825	15.4940825	-9.69408656	9.69408656	9.69408656	0.81615303	u50to0.d0to0	SRP68_573	-4.42654799951633	4.7876541481189396e-06	0.00039737529429387204	4.42654799951633	4.7876541481189396e-06	0.00039737529429387204	4.42654799951633	4.42654799951633	True
u25to0.d0to25|SRSF1_325	162.83600019999997	-162.83600019999997	18.304704	18.304704	8.89585563	-8.89585563	8.89585563	0.44739639	u25to0.d0to25	SRSF1_325	4.40517600881684	5.28490104392044e-06	0.000412222281425794	-4.40517600881684	5.28490104392044e-06	0.000412222281425794	4.40517600881684	4.40517600881684	True
u25to0.d0to25|SRP14_342	-50.5379513	50.5379513	7.015507	7.015507	-7.20374911	7.20374911	7.20374911	0.52709883	u25to0.d0to25	SRP14_342	-3.9934421803514	3.25604819497014e-05	0.00253971759207671	3.9934421803514	3.25604819497014e-05	0.00253971759207671	3.9934421803514	3.9934421803514	True
u25to0.d0to25|PTBP1_991	-21.851164800000006	21.851164800000006	3.877601	3.877601	-5.63522801	5.63522801	5.63522801	0.33900106	u25to0.d0to25	PTBP1_991	-3.17519787850066	0.00074867177517377	0.0583963984635541	3.17519787850066	0.00074867177517377	0.0583963984635541	3.17519787850066	3.17519787850066	False
u0to0.d0to50|PTBP1_991	-11.2913539	11.2913539	3.781712	3.781712	-2.98577855	2.98577855	2.98577855	0.36344315	u0to0.d0to50	PTBP1_991	-2.92690039757604	0.00171179251835912	0.145502364060525	2.92690039757604	0.00171179251835912	0.145502364060525	2.92690039757604	2.92690039757604	False
u0to0.d0to50|RC3H1_531	-8.2971995	8.2971995	2.783318	2.783318	-2.98104623	2.98104623	2.98104623	0.84803401	u0to0.d0to50	RC3H1_531	-2.92331450960519	0.00173163251873279	0.147188764092288	2.92331450960519	0.00173163251873279	0.147188764092288	2.92331450960519	2.92331450960519	False
